linea,cx,cy,paradero,direccion
3,-39.831191, -73.251072,0,ida
3,-39.831725, -73.251212,0,ida
3,-39.832220, -73.251295,0,ida
3,-39.832793, -73.251359,1,ida
3,-39.833442, -73.251558,0,ida
3,-39.833906, -73.251666,0,ida
3,-39.833649, -73.252174,0,ida
3,-39.833370, -73.252720,0,ida
3,-39.833032, -73.253327,0,ida
3,-39.832822, -73.253858,0,ida
3,-39.833195, -73.254230,0,ida
3,-39.833632, -73.254693,0,ida
3,-39.834098, -73.255102,0,ida
3,-39.834739, -73.255694,1,ida
3,-39.835065, -73.256225,0,ida
3,-39.835578, -73.256741,0,ida
3,-39.836149, -73.257302,1,ida
3,-39.836609, -73.257621,0,ida
3,-39.837046, -73.257773,0,ida
3,-39.837570, -73.257765,0,ida
3,-39.838164, -73.257841,0,ida
3,-39.838651, -73.257872,0,ida
3,-39.838995, -73.257807,0,ida
3,-39.839254, -73.257684,0,ida
3,-39.839331, -73.257716,1,ida
3,-39.839713, -73.257508,0,ida
3,-39.840135, -73.257267,0,ida
3,-39.840455, -73.257102,0,ida
3,-39.840884, -73.256910,0,ida
3,-39.841339, -73.256686,0,ida
3,-39.841781, -73.256489,0,ida
3,-39.842198, -73.256483,1,ida
3,-39.842986, -73.256408,0,ida
3,-39.843535, -73.256355,0,ida
3,-39.844108, -73.256272,0,ida
3,-39.844705, -73.256122,0,ida
3,-39.845341, -73.255835,0,ida
3,-39.845833, -73.255564,0,ida
3,-39.846279, -73.255194,0,ida
3,-39.846713, -73.254539,0,ida
